model,category,national_origin,type,launch_platform,name,name_NATO,in_sevice,designer,manufacturer,guidance_system,unit_cost
Eleron,UAV,russia,reconnaissance,man-portable catapult,Eleron-3,,2008,ENICS,ENICS,"Inertial, GPS/GLONASS",
Forpost,UAV,russia,reconnaissance (IAI Searcher II derivative),ground catapult,Forpost / Forpost-R,,2012,Israel Aerospace Industries (licensed),Ural Works of Civil Aviation,"Inertial, GPS/GLONASS, datalink",
Granat-4,UAV,russia,reconnaissance,man-portable catapult,Granat-4,,2014,Izhmash Unmanned Systems,Izhmash Unmanned Systems,"Inertial, GPS/GLONASS",
Kub,UAV,russia,loitering munition,catapult,KUB-BLA,,2019,ZALA Aero Group,ZALA Aero Group,"Inertial, optical",~40000 USD
Lancet,UAV,russia,loitering munition,catapult,Izdeliye 51 / Izdeliye 52 Lancet,,2020,ZALA Aero Group,ZALA Aero Group,"Inertial, optical-recognition terminal",~35000 USD
Merlin-VR,UAV,russia,reconnaissance,catapult,Merlin-VR,,2015,Kazan National Research Technical University,KAI-Trial,"Inertial, GPS/GLONASS",
Mohajer-6,UAV,iran,multirole ISTAR / armed,runway,Mohajer-6,,2018,Qods Aviation Industry Company,Qods Aviation Industry Company,"Inertial, GPS, datalink",~260000 USD
Orion,UAV,russia,reconnaissance and armed (MALE),runway,Orion / Inokhodets,,2020,Kronstadt Group,Kronstadt Group,"Inertial, satellite datalink",~5 million USD
Orlan-10,UAV,russia,reconnaissance,catapult,Orlan-10,,2010,Special Technology Center,Special Technology Center,"Inertial, GPS/GLONASS",~100000 USD
Orlan-10 and Orlan-30 and ZALA and Supercam,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and Supercam,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and ZALA,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and ZALA and Supercam,UAV,russia,reconnaissance,,,,,,,,
Orlan-30,UAV,russia,reconnaissance / laser-designator,catapult,Orlan-30,,2018,Special Technology Center,Special Technology Center,"Inertial, GPS/GLONASS, laser designator",
Reconnaissance UAV,UAV,,reconnaissance,,,,,,,,
Shahed-136/131,UAV,iran,one-way attack loitering munition,truck-mounted ramp,Shahed-136 / Shahed-131 (RU: Geran-2 / Geran-1),,2021,Shahed Aviation Industries,Shahed Aviation Industries / Alabuga (RU license production),"Inertial, GPS/GLONASS (CRPA antennas on later variants)",~20000–50000 USD
Shahed-136/131 and Lancet,UAV,russia,,,,,,,,,
Supercam,UAV,russia,reconnaissance,catapult,Supercam S350,,2012,Unmanned Systems Group,Unmanned Systems Group,"Inertial, GPS/GLONASS",
Unknown UAV,UAV,,,,Unidentified UAV,,,,,,
ZALA,UAV,russia,reconnaissance,catapult,ZALA 421-16E,,2010,ZALA Aero Group,ZALA Aero Group,"Inertial, GPS/GLONASS",
Молнія,UAV,russia,one-way attack loitering munition,catapult,Molniya / Molniya-1,,2024,Kronstadt Group,Kronstadt Group,"Inertial, GPS/GLONASS",~700 USD
Молнія and Lancet,UAV,russia,,,,,,,,,
Unknown Ballistic Missile,ballistic missile,russia,,,Unidentified Ballistic Missile,,,,,,
Intercontinental Ballistic Missile,ballistic missile,russia,,,,,,,,,
Iskander-M,ballistic missile,russia,"short-range, quasi-ballistic, road-mobile",9P78-1 TEL,9K720 Iskander-M / 9M723,SS-26 Stone,2006,KBM Kolomna,Votkinsk Plant State Production Association,"Inertial, optical DSMAC, GLONASS",~3 million USD
Iskander-M/KN-23,ballistic missile,russia/north korea,,,,,,,,,
KN-23,ballistic missile,north korea,"short-range, solid-fueled, quasi-ballistic","8×8 wheeled TEL, 10×10 wheeled TEL, tracked launcher, railway car",Hwasong-11Ga,KN-23,2019,Academy of National Defence Science,February 11 Plant,Inertial,
X-47 Kinzhal,ballistic missile,russia,"air-launched aero-ballistic","MiG-31K, Tu-22M3M",Kh-47M2 Kinzhal,AS-24 Killjoy,2017,KBM Kolomna,Votkinsk Plant State Production Association,"Inertial, GLONASS",~10 million USD
X-47 Kinzhal and Iskander-M,ballistic missile,russia,,,,,,,,,
3M22 Zircon,cruise missile,russia,"anti-ship, hypersonic, scramjet, sea-launched / land-attack",3S14 UKSK VLS,3M22 Tsirkon,SS-N-33,2022,NPO Mashinostroyeniya,NPO Mashinostroyeniya,"Inertial, active radar terminal",~10 million USD
Banderol,cruise missile,russia,subsonic cruise missile,Orion UAV / ground launcher,S8000 Banderol,,2024,Kronstadt Group,Kronstadt Group,"Inertial, GPS/GLONASS",
Iskander-K,cruise missile,russia,"ground-launched, subsonic, terrain-following",9P78-1 TEL,9M728 / 9M729 (Iskander-K),SSC-7 / SSC-8,2013,Novator Design Bureau,Novator Design Bureau,"Inertial, TERCOM, GLONASS",~3 million USD
Iskander-K and Kalibr,cruise missile,russia,,,,,,,,,
Kalibr,cruise missile,russia,"sea-launched, subsonic, land-attack","naval ships, submarines, Klub-K containers",3M-14 Kalibr,SS-N-27 Sizzler,2015,Novator Design Bureau,Novator Design Bureau,"Inertial, TERCOM/DSMAC, GLONASS",~1 million USD
P-800 Oniks,cruise missile,russia,anti-ship / land-attack (supersonic),"Bastion-P coastal, naval ships, Su-30/34",P-800 Onyks,SS-N-26 Strobile,2002,NPO Mashinostroyeniya,NPO Mashinostroyeniya,"Inertial, active radar terminal",
Unknown Missile,cruise missile,,,,Unidentified Missile,,,,,,
X-101/X-555,cruise missile,russia,"air-launched, subsonic, low-RCS","Tu-95MS, Tu-160",Kh-101 / Kh-555,AS-23 Kodiak / AS-15 Kent,2012,MKB Raduga,MKB Raduga,"Inertial, TERCOM, GLONASS, EO terminal",~13 million USD
X-101/X-555 and Iskander-K,cruise missile,russia,,,,,,,,,
X-101/X-555 and Kalibr,cruise missile,russia,,,,,,,,,
X-101/X-555 and Kalibr and Iskander-K,cruise missile,russia,,,,,,,,,
X-101/X-555 and Kalibr and Iskander-K and X-59,cruise missile,russia,,,,,,,,,
X-101/X-555 and Kalibr and X-22,cruise missile,russia,,,,,,,,,
X-101/X-555 and Kalibr and X-59/X-69,cruise missile,russia,,,,,,,,,
X-22,cruise missile,russia,"air-launched, supersonic anti-ship / land-attack",Tu-22M3,Kh-22 Burya,AS-4 Kitchen,1968,MKB Raduga,MKB Raduga,"Inertial, active radar / anti-radar",
X-22 and X-31P,cruise missile,russia,,,,,,,,,
X-22 and X-32,cruise missile,russia,,,,,,,,,
X-31,cruise missile,russia,"air-launched, supersonic","Su-30/34/35, MiG-29/35",Kh-31,AS-17 Krypton,1988,Zvezda-Strela,Tactical Missiles Corporation,Inertial / active radar / passive radar (P/PD variants),
