time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source
2026-05-16 18:00,2026-05-17 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,,287.0,279.0,0.0,0.0,{},,7.0,7.0,,,,,"{'south': 35, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02YvzHCy2r1Byqawo74pt2xay4ukm43TCX5mQwaGpwYq5uUdkS89g6r3HhSq7BcCqTl
2026-05-15 18:00,2026-05-16 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,294.0,269.0,0.0,5.0,{},,15.0,9.0,,,,,"{'south': 70, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0kZUFSdY1CoLH6yAy6fcroAhUjMNwVQFkWb2EwqYmTBjwSLrGeEdLP4nUoBNxHCyal
2026-05-16,2026-05-16,Unknown UAV,,south,,68.0,68.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0K4DkDxvt7smC5wrrJVVTHGNmyzMbEFcRn2Z1JH8PfzQdRuCmoeo8mqo2coBVvP8al
2026-05-14 18:00,2026-05-15 09:00,X-35,Crimea,south,,1.0,1.0,,,{},,,,,,,,{'south': 1},,,kpszsu/posts/pfbid0RiViLL9Y5nr7pmMRBVj1VRJFC8J83xbiVFCkbqk4G8Vf7M7NZMHkPNe4JECTCpKQl
2026-05-14 18:00,2026-05-15 09:00,X-31P,Black Sea,south,,5.0,0.0,5.0,,{},,,,,,,,,,,kpszsu/posts/pfbid0RiViLL9Y5nr7pmMRBVj1VRJFC8J83xbiVFCkbqk4G8Vf7M7NZMHkPNe4JECTCpKQl
2026-05-14 18:00,2026-05-15 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,141.0,130.0,0.0,4.0,{},,6.0,7.0,,,,,"{'south': 49, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0RiViLL9Y5nr7pmMRBVj1VRJFC8J83xbiVFCkbqk4G8Vf7M7NZMHkPNe4JECTCpKQl
2026-05-15,2026-05-15,Unknown UAV,,south,,64.0,64.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0YGSM7QsTt2CN2geCHys1CexhmkxhgXaqTgzECJWaZcVLdFgZJaKuJjdkgg1Zw7g1l
2026-05-15,2026-05-15,Iskander-M,Crimea,Odesa oblast,,1.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0LPYJNz17iyMAtmUJxGg7LPJCKwxxyDSrhvw9gGGRgvMkdef6tKPtn5kaofsqxJ7ml
2026-05-13 18:00,2026-05-14 08:00,X-47 Kinzhal,Lipetsk oblast,Ukraine,,3.0,0.0,,,{},,,,MiG-31K,,,,,,,kpszsu/posts/pfbid02NiQuoavR9ZaJo5aheSAhPnjTeA3psgT6WWxDNS5nDpdBHFP4FUMwF2qNncf1j1VQl
2026-05-13 18:00,2026-05-14 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,Kyiv oblast,675.0,652.0,0.0,0.0,{},,24.0,18.0,,,,,"{'south': 256, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02NiQuoavR9ZaJo5aheSAhPnjTeA3psgT6WWxDNS5nDpdBHFP4FUMwF2qNncf1j1VQl
2026-05-13 18:00,2026-05-14 08:00,C-400 and Iskander-M,Kursk oblast and Bryansk oblast,Ukraine,,18.0,12.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02NiQuoavR9ZaJo5aheSAhPnjTeA3psgT6WWxDNS5nDpdBHFP4FUMwF2qNncf1j1VQl
2026-05-14 03:00,2026-05-14 04:00,X-101/X-555,Vologda Oblast,Ukraine,,35.0,29.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02NiQuoavR9ZaJo5aheSAhPnjTeA3psgT6WWxDNS5nDpdBHFP4FUMwF2qNncf1j1VQl
2026-05-14,2026-05-14,Unknown UAV,,south,,64.0,64.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0LPYJNz17iyMAtmUJxGg7LPJCKwxxyDSrhvw9gGGRgvMkdef6tKPtn5kaofsqxJ7ml
2026-05-13 08:00,2026-05-13 18:30,Shahed-136/131,,Ukraine,west,753.0,710.0,0.0,0.0,{},,27.0,26.0,,,,,"{'west': 154, 'south': NaN, 'east': NaN, 'north': NaN, 'center': NaN}",,,kpszsu/posts/pfbid034THtTexpYtG5fMjwjhLruhzQzmj9cYhwe2Xgw7c57DQuVeYCFKJEcGSK6KhTkTC3l
2026-05-12 18:00,2026-05-13 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Ukraine,,139.0,111.0,0.0,8.0,{},,13.0,4.0,,,,,"{'south': 41, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0R8y3WQXRZAp4jvHy6bumFuwEW6HwYaT1M2KZBFmUzeEE5PS758xorhnAPXdYEAz1l
2026-05-11 18:00,2026-05-12 09:30,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,216.0,192.0,0.0,0.0,{},,10.0,5.0,,,,,"{'south': 32, 'east': NaN, 'north': NaN, 'center': NaN}",,,kpszsu/posts/pfbid0mPXDa6hYAfwucHWbN1kXrspz1o9PVDXt1YWK9gesXhZMYRrcbo95ooWwR9gn5hkul
2026-05-12,2026-05-12,Unknown UAV,,south,,59.0,59.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid09KpYiQG77DX9wyfkRpunYswPrRcmvxX93FzVJeWd6ZW9ihyAHkZgfzrtCv6AePEml
2026-05-12,2026-05-12,Unknown UAV,,east,,72.0,72.0,,,{},,,,,,,,,,,pvkshid/posts/pfbid0BoYK3srR12QMVxxpZXctt3R58G6yKUYoABkgi83DJ74EqK8SS81gxDAfKb3ZNME9l
2026-05-11,2026-05-11,Unknown UAV,,south,,47.0,47.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0hj7Cag6nej7E9zTJhecZp2s3zAHTgLJdguPyDwtS7S46PAJxcJouEt7JZHRUsRWbl
2026-05-11,2026-05-11,Unknown UAV,,east,,51.0,51.0,,,{},,,,,,,,,,,pvkshid/posts/pfbid02TUpgp4soAyGmaXRHmodXGtoZiGQfonffMDpoCSPZN5maTsw1DHsMBdcVxQNsfYEal
2026-05-10 00:00,2026-05-10 08:00,Shahed-136/131,Primorsko-Akhtarsk and Millerovo,Ukraine,,27.0,27.0,0.0,0.0,{},,0.0,0.0,,,,,"{'south': NaN, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0XYVpdP5SU35KdRbuwARn3J4rfAC1bM1VesusCoZyyS2cP3e9fqc5d57vX5VbLTU4l
2026-05-10,2026-05-10,Unknown UAV,,south,,31.0,31.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0z35vSBccBpRSBqo6oW5aFXGdgQbYszqFThKQzQ9XZho24zoXWZYLgcZDwL9VqqRol
2026-05-10,2026-05-10,Unknown UAV,,east,,18.0,18.0,,,{},,,,,,,,,,,pvkshid/posts/pfbid0WQyS8HHvr52wybjZmoLEoGwjcTC2SNH6gUSSfPAQt1nguhWiGD4eR1Pzx6yaKBgul
2026-05-08 18:00,2026-05-09 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo,Ukraine,,43.0,34.0,0.0,0.0,{},,6.0,2.0,,,,,"{'south': NaN, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02KthnvpEnSorLcoX9HFeTCjkyMa3LuHoMshpdneqRaYikHozVxiAtrAG2NgemLjnal
2026-05-09,2026-05-09,Unknown UAV,,south,,11.0,11.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid022TCapwXHj42YftwRrRUYRbgyy45SM5f1rgqDaNUrDDKakHpfYCxDNkQehqLSedEnl
2026-05-09,2026-05-09,Unknown UAV,,east,,32.0,32.0,,,{},,,,,,,,,,,pvkshid/posts/pfbid0KjropreJX2wYE2mpQXMXGFVo1Z8KCKqNA8GCQMqaTXgzXRRuZZWCBwd3UhcDGntMl
2026-05-07 18:00,2026-05-08 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,67.0,56.0,0.0,0.0,{},,8.0,7.0,,,,,"{'south': 39, 'east': 77, 'north': NaN}",,,kpszsu/posts/pfbid0d3pueH19VwGf7EpxTPMK8mC5Sq4k7qPx8s952RvBHbu9L5Mrpakfo8nimyKQiRgHl
2026-05-08,2026-05-08,Unknown UAV,,south,,20.0,20.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid09D3hoLQp9QAYhHxAusHzrw51MYEZd7HVkMBA4xDJLqyaRwx7EAGhGCH2fPqK3ZzDl
2026-05-08,2026-05-08,Iskander-M,Crimea,Mykolaiv oblast,,1.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid09D3hoLQp9QAYhHxAusHzrw51MYEZd7HVkMBA4xDJLqyaRwx7EAGhGCH2fPqK3ZzDl
2026-05-06 19:00,2026-05-07 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,102.0,92.0,0.0,2.0,{},,6.0,4.0,,,,,"{'south': 32, 'east': 77, 'north': NaN}",,,kpszsu/posts/pfbid021Z76vZbVNb9yaPhDtopLfYU9eHHxcHveg83sza2Kkd1y9oz8WX8B9k5puq9h6mijl
2026-05-07,2026-05-07,Unknown UAV,,south,,55.0,55.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0qJtpX5iqxLj1ADKv4wpD2nJ9JUPQS84TMMSiR2WMTG9iwLvia3dsdRPukh81zh8fl
2026-05-05 18:00,2026-05-06 08:00,X-31,Kursk oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02ey7LP6u8Q6i1g25k4QKoqz1VBNaFV2mZqyufSMUK15nMaN27rdXghREtLwNWiHVDl
2026-05-05 18:00,2026-05-06 08:00,Shahed-136/131,"Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,108.0,89.0,0.0,10.0,{},,8.0,1.0,,,,,"{'south': 16, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02ey7LP6u8Q6i1g25k4QKoqz1VBNaFV2mZqyufSMUK15nMaN27rdXghREtLwNWiHVDl
